days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,3.0,1.0,1.0,2.0
1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,3.0,2.0,1.0,6.0
2,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1,3.0,3.0,6.0,10.0
3,3.0,6.0,7.0,2.0,5.0,2.0,3.0,1,3.0,4.0,7.0,18.0
4,7.0,8.0,10.0,3.0,10.0,2.0,7.0,1,6.0,4.0,11.0,32.0
5,7.0,10.0,12.0,6.0,17.0,3.0,9.0,1,7.0,6.0,12.0,39.0
6,9.0,12.0,17.0,7.0,28.0,5.0,11.0,1,7.0,9.0,14.0,68.0
7,10.0,13.0,21.0,10.0,35.0,7.0,17.0,1,7.0,13.0,17.0,95.0
8,28.0,13.0,29.0,11.0,54.0,14.0,24.0,1,7.0,13.0,21.0,142.0
9,43.0,16.0,34.0,16.0,55.0,18.0,28.0,1,10.0,24.0,22.0,183.0
10,65.0,17.0,52.0,20.0,133.0,27.0,44.0,1,12.0,32.0,28.0,264.0
11,81.0,28.0,79.0,21.0,195.0,28.0,67.0,2,14.0,34.0,33.0,381.0
12,115.0,28.0,107.0,25.0,289.0,34.0,84.0,2,14.0,41.0,43.0,502.0
13,158.0,35.0,148.0,36.0,342.0,36.0,94.0,2,19.0,52.0,52.0,645.0
14,194.0,35.0,197.0,62.0,533.0,48.0,123.0,2,23.0,65.0,58.0,935.0
15,250.0,42.0,233.0,77.0,623.0,58.0,157.0,2,25.0,72.0,70.0,1180.0
16,285.0,44.0,366.0,105.0,830.0,60.0,206.0,3,32.0,77.0,97.0,1512.0
17,359.0,50.0,463.0,105.0,1043.0,75.0,267.0,4,39.0,90.0,132.0,1929.0
18,508.0,53.0,631.0,110.0,1375.0,93.0,342.0,4,44.0,104.0,191.0,2415.0
19,695.0,54.0,827.0,146.0,1772.0,120.0,433.0,6,50.0,123.0,269.0,2963.0
20,878.0,60.0,1016.0,180.0,2311.0,145.0,533.0,9,59.0,139.0,368.0,3716.0
21,1162.0,66.0,1266.0,239.0,2808.0,172.0,645.0,11,62.0,161.0,463.0,4535.0
22,1456.0,66.0,1441.0,308.0,3647.0,180.0,775.0,19,71.0,179.0,611.0,5335.0
23,1670.0,72.0,1809.0,358.0,4365.0,191.0,920.0,19,76.0,187.0,798.0,6149.0
24,2044.0,75.0,2158.0,373.0,5138.0,191.0,1107.0,33,89.0,203.0,1040.0,7185.0
25,2426.0,75.0,2503.0,401.0,5982.0,242.0,1275.0,48,101.0,218.0,1356.0,8138.0
26,3096.0,81.0,2978.0,477.0,6803.0,272.0,1444.0,48,108.0,237.0,1778.0,9166.0
27,3748.0,84.0,3405.0,591.0,7716.0,297.0,1584.0,79,113.0,247.0,2341.0,10162.0
28,4462.0,91.0,4032.0,687.0,8464.0,315.0,1810.0,91,119.0,260.0,2995.0,11159.0
29,5222.0,94.0,4825.0,793.0,9387.0,333.0,2016.0,91,128.0,273.0,3629.0,12116.0
30,5866.0,102.0,5476.0,870.0,10348.0,355.0,2349.0,148,134.0,285.0,4463.0,12998.0
31,6434.0,111.0,6077.0,887.0,11198.0,369.0,2607.0,148,139.0,299.0,5718.0,14001.0
32,7472.0,111.0,6820.0,899.0,11947.0,388.0,2767.0,148,150.0,309.0,6986.0,14937.0
33,8506.0,120.0,7503.0,919.0,12641.0,403.0,2736.0,243,152.0,321.0,8599.0,15669.0
34,9616.0,126.0,8215.0,1033.0,13341.0,421.0,3022.0,450,161.0,336.0,9936.0,16473.0
35,10768.0,131.0,9134.0,1203.0,14045.0,456.0,3194.0,562,164.0,346.0,11263.0,17141.0
36,11608.0,139.0,10023.0,1333.0,14792.0,474.0,3294.0,674,165.0,355.0,12765.0,17793.0
37,12294.0,144.0,10779.0,1400.0,15447.0,507.0,3804.0,860,181.0,364.0,14504.0,18412.0
38,13038.0,152.0,11591.0,1511.0,16081.0,520.0,4052.0,1100,182.0,370.0,16883.0,19040.0
39,14085.0,158.0,12428.0,1540.0,16606.0,537.0,4352.0,1331,187.0,384.0,19065.0,19647.0
40,14927.0,162.0,13155.0,1580.0,17209.0,560.0,4459.0,1696,194.0,394.0,21216.0,20212.0
41,15956.0,165.0,13915.0,1765.0,17756.0,576.0,4586.0,1995,199.0,403.0,23362.0,20759.0
42,16892.0,169.0,14681.0,1937.0,18056.0,576.0,4862.0,2314,201.0,418.0,25486.0,21326.0
43,18007.0,174.0,15362.0,2021.0,18708.0,576.0,5033.0,2606,201.0,422.0,27336.0,21804.0
44,18505.0,177.0,15887.0,2152.0,19315.0,663.0,5279.0,3024,205.0,427.0,29242.0,22267.0
45,19064.0,183.0,16523.0,2192.0,20002.0,871.0,5575.0,3523,206.0,434.0,31699.0,22777.0
46,20237.0,186.0,17127.0,2194.0,20043.0,883.0,5760.0,4403,207.0,443.0,34308.0,23287.0
47,21074.0,192.0,17669.0,2274.0,20453.0,900.0,5877.0,5387,210.0,452.0,36483.0,23616.0
48,21801.0,200.0,18279.0,2355.0,20852.0,1063.0,5976.0,6507,210.0,460.0,39149.0,23841.0
49,22807.0,204.0,18849.0,2462.0,21282.0,1371.0,6126.0,7560,211.0,475.0,41594.0,24035.0
50,23650.0,208.0,19468.0,2586.0,21717.0,1564.0,6314.0,8078,211.0,484.0,42870.0,24576.0
51,24070.0,211.0,19899.0,2653.0,22157.0,1569.0,6467.0,8911,214.0,493.0,44704.0,24788.0
52,24408.0,214.0,20465.0,2669.0,22524.0,1569.0,6623.0,10328,215.0,503.0,47208.0,25028.0
53,25319.0,217.0,21067.0,2679.0,22902.0,1618.0,6736.0,10869,216.0,506.0,49639.0,25956.0
