days,United Kingdom,"Korea, South",Italy,Sweden,Spain,Ecuador,Germany,France,Norway,Denmark,USA,New York
0,1.1994669035984007,1.0326344001261234,1.304706853839802,1.096054204862495,1.1555745773592982,1.0362694300518134,1.0057832537088258,1.2129773219303228,1.1156563778356265,1.0398613518197575,1.100089952106581,1.5915647070526209
1,1.7029468384421738,1.0956960428819171,1.7671345995045418,1.5942606616181747,1.1769741065696555,1.5544041450777202,1.125519355340829,1.3972270417172072,1.3015991074748976,1.5597920277296362,1.3857486689519363,1.9397194867203817
2,2.339700873685769,1.135109569604288,2.444260941370768,1.9928258270227184,2.846137384977531,1.6119746689694876,1.4727540500736378,1.3972270417172072,1.3015991074748976,2.2530329289428077,1.826392434298495,3.3820750024868196
3,2.8727972752850586,1.198171212360082,3.253509496284063,2.0924671183738544,4.172908196019688,1.957397812320092,1.8798567956224481,2.2724132107049084,1.3015991074748976,2.2530329289428077,2.3825152553910485,4.7249577240624685
4,3.702058344439508,1.2454674444269274,3.8480594549958713,2.491032283778398,6.184463941793281,2.0725388601036268,2.466563693619263,2.2724132107049084,1.3015991074748976,4.15944540727903,3.1027398925436995,7.062568387546006
5,4.220346512661039,1.2769982658048242,6.044591246903386,3.587086488640893,7.3186389899422215,2.763385146804836,3.196953913574482,2.2724132107049084,1.859427296392711,5.545927209705373,4.050883718668708,9.101760668457176
6,5.316155782615134,1.300646381838247,7.646573080099092,6.177760063770426,11.40594906912048,3.33909038572251,4.094974675814505,3.7310568256844108,2.231312755671253,5.892547660311958,5.305958719276493,13.130408833184124
7,7.522582555901081,1.3321772032161439,10.421139554087532,7.672379434037466,13.331906698052643,3.454231433506045,5.184573200665733,6.909364492008168,2.603198214949795,7.105719237435009,6.98952179515231,18.949567293345268
8,10.276913964164075,1.3715907299385148,13.65813377374071,10.462335591869271,17.76160924459662,4.317789291882556,6.381934216985764,8.629028543352423,2.603198214949795,9.01213171577123,8.916198672598643,24.967671341887993
9,12.986820672293796,1.3952388459719376,16.779521056977707,10.462335591869271,22.31970896640274,5.354058721934369,7.7229785552641985,10.348692594696677,3.532911863146151,11.265164644714039,10.821603092407555,32.07997612652939
10,17.192358951577077,1.442535078038783,20.908340214698597,10.960542048624951,29.42435266424139,6.90846286701209,9.279547876480239,13.204563251393388,4.276682781703236,12.47833622183709,13.313519558505336,46.50353128419377
11,21.54597956463794,1.4661831940722057,23.798513625103222,14.547628537265844,37.919965760753264,8.347725964306274,11.015721350144283,16.889557647131078,4.648568240981778,13.344887348353554,17.033160722534216,58.6889485725654
12,24.71494150747816,1.513479426139051,29.876135425268373,17.935432443204466,49.45431200513589,9.902130109383995,13.25478645066274,20.436364753028602,5.9501673484566755,15.597920277296362,20.804463569396834,75.20143240823634
13,30.253220790759663,1.5765410688948447,35.63996696944674,23.814268632921483,60.08987802268351,10.362694300518134,15.266352958080391,26.040627063213005,7.251766455931573,18.02426343154246,25.624194685532295,95.94150999701581
14,35.90996594106323,1.6080718902727416,41.33773740710157,30.689517736149863,78.04408303017334,10.995970063327576,17.289893075661244,30.631515914569544,8.181480104127928,21.31715771230503,29.620377798847638,120.11339898537749
15,45.83148230416111,1.6396027116506384,49.18249380677126,35.67158230370666,93.40894500320994,10.995970063327576,18.966198498509286,35.529487632237554,9.297136481963555,24.090121317157713,33.522354314054404,147.36894459365362
