days,Japan,Italy,Sweden,Denmark
0,1,1.0,1.0,1.0
1,1,2.0,1.0,1.0
2,1,3.0,1.0,1.0
3,1,7.0,2.0,3.0
4,1,10.0,3.0,4.0
5,1,12.0,6.0,5.0
6,1,17.0,7.0,6.0
7,1,21.0,10.0,10.0
8,1,29.0,11.0,16.0
9,1,34.0,16.0,19.0
10,1,52.0,20.0,22.0
11,1,79.0,21.0,25.0
12,1,107.0,25.0,32.0
13,2,148.0,36.0,35.0
14,4,197.0,62.0,41.0
15,4,233.0,,
16,5,366.0,,
17,6,463.0,,
18,6,631.0,,
19,6,827.0,,
20,6,827.0,,
21,6,1266.0,,
22,6,1441.0,,
23,6,1809.0,,
24,6,2158.0,,
25,10,2503.0,,
26,10,2978.0,,
27,15,3405.0,,
28,16,4032.0,,
29,19,4825.0,,
30,22,5476.0,,
31,22,6077.0,,
32,27,6820.0,,
33,29,7503.0,,
34,29,,,
35,29,,,
36,33,,,
37,35,,,
38,41,,,
39,42,,,
40,43,,,
41,45,,,
